Mean_time	Mean_qlow	Mean_qup	Priors
t_n1060	3845.331	3058.16	4413.19	0
t_n1061	3786.815	2920.89	4401.54	0
t_n1062	3720.234	2762.68	4390.07	0
t_n1063	3643.599	2603.01	4374.6	0
t_n1064	3536.929	2428.95	4352.98	0
t_n1065	3224.664	2059.2	4265.98	0
t_n1066	2967.269	1905.28	4139.38	0
t_n1067	2704.351	1766.5	3946.26	0
t_n1068	2481.495	1670.66	3713.24	0
t_n1069_TG-CHROMATIACEAE	2229.376	1566.9	3394.08	B(1.631,4.520,0.025,1e-300)
t_n1070	1899.357	1111.76	2965.95	0
t_n1071	1631.171	824.81	2568.18	0
t_n1072	1421.782	585.11	2265	0
t_n1073	1183.785	359.29	2058.78	0
t_n1074	926.542	198.55	1859.54	0
t_n1075	638.344	77.18	1636.65	0
t_n1076	323.461	8.18	1236.01	0
t_n1077	765.452	30.81	1857.23	0
t_n1078	1506.405	588.96	2441.09	0
t_n1079	1176.778	295.5	2101.81	0
t_n1080	826.028	109.64	1848.78	0
t_n1081	426.646	10.23	1482.46	0
t_n1082	1385.852	279.79	2502.91	0
t_n1083	732.549	23.44	1924.04	0
t_n1084	1125.721	53.13	2562.09	0
t_n1085	2319.717	1168.06	3730.84	0
t_n1086	1729.755	643.43	3113.43	0
t_n1087	1302.199	324.34	2389.53	0
t_n1088	906.605	119.92	1977.43	0
t_n1089	473.909	12.92	1592.39	0
t_n1090	1448.463	284.86	2885.3	0
t_n1091	756.19	24.04	2004.73	0
t_n1092_TG-MIT-EUKARYA	3284.2	2098.35	4302.15	B(1.08557,4.520,0.025,1e-300)
t_n1093	2988.192	1899.77	4111.17	0
t_n1094	2786.877	1750.12	3963.06	0
t_n1095	2161.187	1057.9	3512.6	0
t_n1096	1645.327	589.94	2963.36	0
t_n1097	865.196	36.35	2076.6	0
t_n1098	1124.952	183	2221.13	0
t_n1099	590.875	16.67	1755.48	0
t_n1100	1060.39	46.34	2461.37	0
t_n1101	2574.197	1576.04	3793.08	0
t_n1102	2279.375	1283.24	3508.05	0
t_n1103	2013.68	1105.92	3241.71	0
t_n1104	1678.837	785.05	2819.13	0
t_n1105	1411.673	527.85	2334.37	0
t_n1106	1165.576	336.93	2080.6	0
t_n1107	907.05	187.65	1874.61	0
t_n1108	623.075	71.84	1635.05	0
t_n1109	315.765	7.63	1243.32	0
t_n1110	1636.017	711.45	2772.02	0
t_n1111	1333.838	419.36	2278.09	0
t_n1112	1040.055	229.13	2004.98	0
t_n1113	547.167	17.73	1631.14	0
t_n1114	544.425	18.49	1628.88	0
t_n1115	1097.169	46.63	2514.16	0
t_n1116	2189.885	1187.15	3442.72	0
t_n1117	1574.333	487.55	2865.45	0
t_n1118	825.352	33.06	2029.26	0
t_n1119	823.315	31.9	2036.05	0
t_n1120	1789.885	858.84	3026.33	0
t_n1121	1351.173	380.82	2377.92	0
t_n1122	718.064	25.91	1867.66	0
t_n1123	720.373	26.59	1863.48	0
t_n1124	1220.306	231.97	2278.23	0
t_n1125	642.973	19.65	1794.33	0
t_n1126	3211.706	1945.05	4288.15	0
t_n1127	2185.263	854.99	3836.95	0
t_n1128	1380.879	246.28	2927.56	0
t_n1129	714.529	21.74	1963.56	0
t_n1130	1053.659	45.51	2624.23	0
t_n1131	2753.355	1556.19	4099.2	0
t_n1132	2381.874	1276.24	3798.14	0
t_n1133	1949.065	953.3	3302.5	0
t_n1134	1629.152	685.84	2848.53	0
t_n1135	1370.537	470.22	2348.97	0
t_n1136	1130.911	307.91	2076.49	0
t_n1137	879.43	174.14	1861.33	0
t_n1138	452.517	13.95	1516.19	0
t_n1139	456.743	14.38	1516.49	0
t_n1140	1850.016	813.77	3247.68	0
t_n1141	1460.745	485.01	2614.57	0
t_n1142	1017.555	158.43	2066.82	0
t_n1143	529.842	15.16	1656.83	0
t_n1144	777.068	30.13	1937.41	0
t_n1145	2813.728	1324.73	4217.33	0
t_n1146	1635.822	314.96	3418.06	0
t_n1147	825.593	25.96	2180.59	0
t_n1148	1986.883	723.04	3669.06	0
t_n1149	1289.007	226.16	2704.02	0
t_n1150	673.51	21.65	1908.96	0
t_n1151	975.001	41.47	2395.13	0
t_n1152	2884.986	1337.38	4260.82	0
t_n1153	2129.026	874.67	3845.83	0
t_n1154	1516.553	402.97	3051.31	0
t_n1155	1031.122	147.72	2185.81	0
t_n1156	539.958	15.21	1707.53	0
t_n1157	1028.772	43.95	2554.14	0
t_n1158	1244.695	54.51	3232.99	0
t_n1159	2612.384	972.01	4249.03	0
t_n1160	1748.965	450.15	3648.03	0
t_n1161	1153.308	166.65	2587.46	0
t_n1162	598.593	17.16	1820.47	0
t_n1163	2119.672	398.99	4174	0
t_n1164	985.8	33.49	2831.73	0
t_n1165	3930.529	3247.05	4432.59	0
t_n1166	3817.47	2911.57	4413.13	0
t_n1167	3676.708	2509.79	4391.95	0
t_n1168	2598.018	1097.41	4183.26	0
t_n1169	1746.149	488.41	3482.38	0
t_n1170	1154.332	170.78	2462.62	0
t_n1171	601.131	16.71	1798.59	0
t_n1172	1170.568	47.8	3038.66	0
t_n1173	3506.719	2265.22	4360.64	0
t_n1174	3304.393	2066.48	4317.81	0
t_n1175	3090.477	1902.15	4251.43	0
t_n1176	2882.926	1754.81	4144.62	0
t_n1177	2681.198	1609.32	4013.98	0
t_n1178	2487.471	1462	3815.37	0
t_n1179	1526.932	311.19	2971.91	0
t_n1180	790.034	26.72	2053.35	0
t_n1181	2303.038	1318.24	3559.91	0
t_n1182	2136.15	1207.58	3352.75	0
t_n1183	1969.233	1105.06	3145.23	0
t_n1184	1825.145	1027.52	2923.13	0
t_n1185	1702.145	926.88	2701.98	0
t_n1186	1549.895	774.2	2403.72	0
t_n1187	1414.614	636.69	2219.28	0
t_n1188	1267.761	502.45	2072.13	0
t_n1189	1119.106	383.12	1954.58	0
t_n1190	872.013	198.84	1787.52	0
t_n1191	449.286	15	1451.96	0
t_n1192	448.657	15.08	1456.63	0
t_n1193	777.817	121.29	1746.76	0
t_n1194	400.858	11.63	1399.5	0
t_n1195	761.825	29.38	1837.58	0
t_n1196	1438.841	599.75	2295.3	0
t_n1197	1015.708	181.81	1979.21	0
t_n1198	530.59	16.33	1624.76	0
t_n1199	1014.175	180.08	1982.45	0
t_n1200	534.387	14.97	1633.62	0
t_n1201	1544.777	484.96	2721.81	0
t_n1202	812.248	31.59	1994.21	0
t_n1203	814.402	31.73	1989.28	0
t_n1204	1109.35	49.02	2503.96	0
t_n1205	1599.04	315.6	3155.82	0
t_n1206	824.362	25.02	2129.23	0
t_n1207	1666.932	318.59	3328.52	0
t_n1208	842.468	28.39	2183.45	0
t_n1209	1313.421	58.28	3254.88	0
t_n1210	2077.048	646.85	3871.87	0
t_n1211	999.02	37.88	2541.71	0
t_n1212	998.172	39.68	2525.16	0
t_n1213	2482.06	1068.07	4102.11	0
t_n1214	1814.699	614.35	3447.24	0
t_n1215	919.983	35.65	2252.21	0
t_n1216	1202.547	195.85	2485.1	0
t_n1217	630.223	18.61	1834.52	0
t_n1218	2702.601	1116.52	4239.52	0
t_n1219	1933.368	641.23	3744.29	0
t_n1220	1253.936	202.59	2711.62	0
t_n1221	652.485	18.48	1888.92	0
t_n1222	952.561	39.04	2357.91	0
t_n1223	3581.132	2196.59	4387.78	0
t_n1224	3211.912	1869.76	4321.06	0
t_n1225	2836.262	1631.33	4209.15	0
t_n1226	2481.153	1408.14	3994.12	0
