Mean_time	Mean_qlow	Mean_qup	Priors
t_n915	1042.013	201.46	2050.12	0
t_n916	547.315	16.67	1665.19	0
t_n917	544.242	16.45	1649.5	0
t_n918	871.078	34.33	2079.14	0
t_n919	1918.038	562.04	3555.79	0
t_n920	942.985	34.93	2354.55	0
t_n921	946.31	35.68	2359.49	0
t_n922	1853.27	316.94	3718.9	0
t_n923	898.223	27.09	2444.57	0
t_n924	3647.337	2546.18	4307.77	0
t_n925	3243.291	1883.85	4205.05	0
t_n926	2728.164	1419.89	4028.55	0
t_n927	2118.937	961.72	3628.5	0
t_n928	1678.94	588.72	3093.53	0
t_n929	1339.508	349.42	2460.41	0
t_n930	1034.041	190.9	2064.73	0
t_n931	540.228	16.32	1662.96	0
t_n932	540.494	16.22	1659.73	0
t_n933	1954.488	703.91	3529.43	0
t_n934	1269.305	190.58	2650.1	0
t_n935	660.416	19.01	1874.97	0
t_n936	963.375	38.17	2352.46	0
t_n937	2241.91	830.1	3871.79	0
t_n938	1392.808	213.44	3019.12	0
t_n939	717.196	21.9	2013.64	0
t_n940	1053.599	41.76	2694.69	0
t_n941	2987.645	1527.57	4155.02	0
t_n942	2358.361	1077.38	3883.02	0
t_n943	1823.027	664.81	3352.78	0
t_n944	918.053	35.88	2212.54	0
t_n945	1345.985	301.33	2600.79	0
t_n946	928.435	111.62	2028.11	0
t_n947	483.226	12.19	1619.95	0
t_n948	1100.528	43.59	2761.22	0
t_n949	1278.413	52	3330.9	0
t_n950	3857.387	3342.03	4372.11	0
t_n951	3535.557	2363.3	4271.43	0
t_n952_TG-ARCH-EUKARYA	2520.026	1676.18	3394.61	B(1.6191,3.448,1e-300,1e-300)
t_n953	1132.997	48.91	2638.67	0
t_n954	1686.468	494.64	2994.37	0
t_n955	1135.399	155.25	2292.34	0
t_n956	595.368	16.64	1768.6	0
t_n957	3036.58	1714.76	4141.24	0
t_n958	2523.453	1259.66	3924.15	0
t_n959	1836.676	643.73	3361.53	0
t_n960	922.25	35.87	2230.99	0
t_n961	1215.481	181.88	2473.84	0
t_n962	637.36	17.69	1831.84	0
t_n963	1926.113	774.95	3430.01	0
t_n964	1499.035	425.71	2817.36	0
t_n965	782.412	27.49	1982.22	0
t_n966	1025.409	141.66	2123.62	0
t_n967	537.709	15.32	1679.96	0
t_n968	1726.282	303.71	3523.58	0
t_n969	853.161	27.06	2267.15	0
t_n970	3782.448	3204.97	4332.34	0
t_n971	3663.925	2828	4289.12	0
t_n972	3514.343	2428.83	4243.83	0
t_n973	3316.964	2151.63	4186.89	0
t_n974	3086.167	1927.32	4106.4	0
t_n975	2781.466	1666.72	3962.48	0
t_n976	2389.983	1294.48	3699.86	0
t_n977	2052.089	1054.48	3345.34	0
t_n978	1693.401	719.7	2909.38	0
t_n979	1285.621	301.59	2303.57	0
t_n980	894.018	110.62	1939.14	0
t_n981	464.741	11.82	1566.77	0
t_n982	1156.861	183.44	2225.43	0
t_n983	608.508	17.67	1757.68	0
t_n984	1490.658	395.21	2713.88	0
t_n985	1022.737	136.59	2102.85	0
t_n986	536.628	13.99	1683.92	0
t_n987	1125.2	45.47	2649.4	0
t_n988	2209.477	1083.54	3583.01	0
t_n989	1793.125	735.21	3128.16	0
t_n990	912.84	36.2	2164.52	0
t_n991	1422.705	401.93	2539.52	0
t_n992	984.375	136.47	2030.71	0
t_n993	513.616	13.99	1638.05	0
t_n994	750.712	26.26	1918.03	0
t_n995	2515.288	1291.98	3853.45	0
t_n996	1527.33	266.01	3096.81	0
t_n997	780.279	24.97	2076.4	0
t_n998	1986.205	890.99	3385.73	0
t_n999	1296.295	216.11	2571.57	0
t_n1000	677.203	19.29	1879.69	0
t_n1001	1446.31	356.81	2716.68	0
t_n1002	755.614	26.02	1948.31	0
t_n1003	756.011	25.83	1951.13	0
t_n1004	2258.693	841.79	3826.06	0
t_n1005	1064.71	43.48	2704.35	0
t_n1006	1402.397	216.78	3003.03	0
t_n1007	723.267	21.26	2000.99	0
t_n1008	2787.295	1373.62	4059.97	0
t_n1009	2080.795	847.86	3647.45	0
t_n1010	1587.117	465.07	3050.89	0
t_n1011	1197.96	235.95	2318.84	0
t_n1012	627.397	19.8	1789.3	0
t_n1013	626.325	19.21	1787.02	0
t_n1014	1630.969	277.25	3364.4	0
t_n1015	819.016	25.3	2176.53	0
t_n1016	2634.303	1095.51	4063.26	0
t_n1017	1897.356	592.65	3590.17	0
t_n1018	1375.251	279.85	2820.26	0
t_n1019	938.563	111.15	2099.41	0
t_n1020	490.615	12.12	1640.06	0
t_n1021	3534.716	2419.26	4257.22	0
t_n1022	2922.275	1547.68	4097.8	0
t_n1023	2359.21	1126.12	3828.3	0
t_n1024	1750.433	588.29	3240.57	0
t_n1025	1301.821	276.73	2506.9	0
t_n1026	679.554	21.35	1856.7	0
t_n1027	683.972	22.77	1862.44	0
t_n1028	1635.125	436.92	3137.5	0
t_n1029	832.986	30.02	2105.22	0
t_n1030	836.359	29.52	2114.98	0
t_n1031	1263.534	53.93	3217.7	0
t_n1032	3090.832	1908	4122.03	0
t_n1033	2123.736	777.16	3710.43	0
t_n1034	1501.932	337.8	2984.99	0
t_n1035	1020.881	126.32	2174.4	0
t_n1036	532.538	13.59	1706.83	0
t_n1037	2527.084	1446.52	3799.09	0
t_n1038_GOE	1831.041	571.84	2377.49	U(2.315)
t_n1039	1658.878	515.56	2289.33	0
t_n1040	1529.744	461.08	2216.97	0
t_n1041	1381.844	390.69	2123.56	0
t_n1042	1229.555	308.97	2021.95	0
t_n1043	1064.746	238.19	1912.52	0
t_n1044	881.467	163.18	1790.52	0
t_n1045	677.565	98.49	1636.17	0
t_n1046	459.335	41.87	1408.82	0
t_n1047	229.064	4.86	973.81	0
t_n1048	1107.179	167.68	2025.03	0
t_n1049	593.636	16.63	1712.58	0
t_n1050	1139.75	46.71	2659.93	0
t_n1051	4081.077	3483.26	4475.8	0
t_n1052	4001.112	3425.26	4448.07	0
t_n1053	3951.315	3397.47	4425.71	0
t_n1054	3917.459	3379.63	4407.31	0
t_n1055	3892.643	3365.91	4391.76	0
t_n1056	3871.955	3354.51	4376.71	0
t_n1057	3839.154	3328.71	4355.21	0
t_n1058	3788.353	3256.06	4329.15	0
t_n1059	3736.936	3133.56	4306.05	0
t_n1060	3682.586	2999.3	4285.2	0
t_n1061	3626.605	2852.64	4264.35	0
t_n1062	3565.794	2707.94	4243.14	0
t_n1063	3494.234	2559.25	4220.29	0
t_n1064	3392.125	2394.86	4192.68	0
t_n1065	3107.473	2042.2	4084.81	0
t_n1066	2875.752	1892.6	3956.74	0
t_n1067	2636.617	1762.35	3762.02	0
t_n1068	2430.14	1667.05	3541.83	0
t_n1069_TG-CHROMATIACEAE	2192.202	1567.89	3274.14	B(1.631,4.520,0.025,1e-300)
t_n1070	1872.058	1093.58	2882.92	0
t_n1071	1603.336	754.44	2490.33	0
t_n1072	1394.719	500.09	2229.91	0
t_n1073	1156.524	300.31	2031.86	0
t_n1074	901.602	170.84	1847.92	0
t_n1075	620.606	67.22	1627.48	0
t_n1076	314.745	7.3	1232.21	0
t_n1077	747.583	29.09	1842.51	0
t_n1078	1481.28	511.79	2378.86	0
t_n1079	1153.259	246.96	2082.24	0
t_n1080	809.997	98	1831.07	0
t_n1081	420.369	10.56	1482.79	0
t_n1082	1363.393	248.15	2459.71	0
t_n1083	723.421	22.58	1906.93	0
t_n1084	1110.513	45.77	2536.71	0
t_n1085	2267.874	1140.28	3568.09	0
t_n1086	1696.324	593.77	3017.56	0
t_n1087	1271.232	272.95	2342.57	0
t_n1088	881.889	107.33	1948.07	0
t_n1089	455.551	11.27	1565.28	0
t_n1090	1415.011	243.32	2793.55	0
t_n1091	735.221	22.04	1975.27	0
t_n1092_TG-MIT-EUKARYA	3148.913	2072.98	4125.82	B(1.08557,4.520,0.025,1e-300)
t_n1093	2890.332	1874.05	3936.39	0
