Mean_time	Mean_qlow	Mean_qup	Priors
t_n916	293.559	195.38	415.34	0
t_n917	407.977	276.18	559.9	0
t_n918	290.784	183.19	416.93	0
t_n919	1006.781	674.76	1353.87	0
t_n920	427.487	245.29	676.4	0
t_n921	101.258	52.23	179.86	0
t_n922	2201.963	1944.74	2425.18	0
t_n923	1880.736	1578.96	2151.42	0
t_n924	3197.227	3089.56	3332.27	0
t_n925	3077.712	2946.92	3217.27	0
t_n926	2913.068	2761.31	3066	0
t_n927	2649.131	2442.32	2841.4	0
t_n928	1812.365	1453.06	2131.65	0
t_n929	1240.989	936.57	1565.64	0
t_n930	1023.88	755.81	1324.33	0
t_n931	812.273	591.01	1070.83	0
t_n932	258.81	158.89	400.73	0
t_n933	1561.498	1231.3	1876.66	0
t_n934	1185.502	893.92	1477.28	0
t_n935	626.043	425.94	856.96	0
t_n936	943.584	677.22	1251.19	0
t_n937	2005.307	1534.81	2365.8	0
t_n938	1583.538	1159.65	1973.5	0
t_n939	1108.458	766.54	1473.55	0
t_n940	697.736	389.1	1046.66	0
t_n941	3051.702	2912.34	3196.12	0
t_n942	2741.984	2534.42	2922.49	0
t_n943	1236.591	906.3	1549.85	0
t_n944	686.586	449.51	947.27	0
t_n945	892.691	625.72	1158.8	0
t_n946	723.659	498.02	957.79	0
t_n947	577.966	391.07	781.8	0
t_n948	1897.72	1428.64	2277.5	0
t_n949	2136.506	1633.34	2496.16	0
t_n950	3102.937	2974.9	3249	0
t_n951	2921.803	2771.61	3078.3	0
t_n952_TG-ARCH-EUKARYA	2549.886	2317.48	2749.01	B(1.6191,3.448,1e-300,1e-300)
t_n953	1535.503	1127.95	1926.46	0
t_n954	2280.493	2002.8	2513.56	0
t_n955	1808.87	1480.41	2112.19	0
t_n956	747.103	481.62	1047.03	0
t_n957	2753.973	2582.21	2922.56	0
t_n958	2566.917	2368.63	2754.9	0
t_n959	1677.239	1335.02	2000.03	0
t_n960	1438.347	1122.66	1771.01	0
t_n961	689.328	444.53	961.89	0
t_n962	556.677	354.28	794.52	0
t_n963	1059.454	700.2	1422.38	0
t_n964	599.384	365.12	882.68	0
t_n965	353.635	206.29	558.57	0
t_n966	388.112	230.31	595.45	0
t_n967	261.935	153.03	408.95	0
t_n968	2494.254	2268.41	2694.11	0
t_n969	1890.091	1514.71	2215.38	0
t_n970	2914.275	2777.05	3067.07	0
t_n971	2780.414	2635.98	2938.01	0
t_n972	2607.054	2450.42	2770.28	0
t_n973	2461.322	2296.03	2627	0
t_n974	2311.343	2140.03	2485.53	0
t_n975	1846.768	1632.84	2051.6	0
t_n976	1695.135	1482.72	1902.67	0
t_n977	1583.008	1375.12	1791.42	0
t_n978	1428.731	1229.06	1637	0
t_n979	1316.263	1123.71	1521.57	0
t_n980	854.988	675.43	1054.71	0
t_n981	500.599	363.92	659.99	0
t_n982	889.871	690.94	1107.22	0
t_n983	403.538	276.33	571.83	0
t_n984	962.806	752.16	1184.16	0
t_n985	726.108	548.33	926.25	0
t_n986	489.922	353.78	657.5	0
t_n987	617.055	392.15	856.31	0
t_n988	1686.789	1468.94	1899.7	0
t_n989	879.162	669.95	1093.28	0
t_n990	773.97	584.62	973.26	0
t_n991	762.873	576.23	962.74	0
t_n992	575.484	423.91	743.19	0
t_n993	350.677	249.31	470.67	0
t_n994	114.853	68.05	180.26	0
t_n995	2005.952	1809.77	2194.06	0
t_n996	1614.075	1364.38	1838.72	0
t_n997	1156.177	895.12	1402.07	0
t_n998	1268.454	1021.12	1504.09	0
t_n999	657.434	467.07	864.21	0
t_n1000	266.581	173.53	381.16	0
t_n1001	1003.983	781.58	1225.29	0
t_n1002	734.506	555.08	934.36	0
t_n1003	391.736	257	559.32	0
t_n1004	2259.654	2077.02	2440.28	0
t_n1005	3.197	0.37	9.75	0
t_n1006	1827.228	1567.1	2060.5	0
t_n1007	787.667	526.27	1080.99	0
t_n1008	2416.488	2245.51	2591.53	0
t_n1009	2244.297	2051.58	2432.55	0
t_n1010	1406.728	1110.9	1700.22	0
t_n1011	797.037	565.9	1075.44	0
t_n1012	198.423	118.81	313.07	0
t_n1013	199.161	115.55	318.03	0
t_n1014	1660.94	1295.33	1959.3	0
t_n1015	703.295	435.87	995.23	0
t_n1016	1838.379	1452.64	2163.58	0
t_n1017	1531.687	1176.95	1864.16	0
t_n1018	1065.338	777.6	1372.95	0
t_n1019	873.991	627.47	1156.5	0
t_n1020	230.543	141.39	355.83	0
t_n1021	2735.004	2587.21	2894.39	0
t_n1022	2501.599	2331.54	2671.16	0
t_n1023	2277.122	2086.28	2465.61	0
t_n1024	1733.637	1476.98	1982.86	0
t_n1025	1394.745	1135.09	1665.95	0
t_n1026	834.748	608.13	1103.55	0
t_n1027	920.469	695.09	1179.96	0
t_n1028	2052.339	1837.43	2266.97	0
t_n1029	1886.02	1639.24	2112.52	0
t_n1030	575.923	318.26	869.52	0
t_n1031	2231.652	2011.26	2432.72	0
t_n1032	2476.292	2313.22	2644.91	0
t_n1033	1587.71	1256.86	1880.36	0
t_n1034	1327.286	1028.06	1613.63	0
t_n1035	1094.247	826.43	1369.78	0
t_n1036	722.527	509.57	963.62	0
t_n1037	2284.885	2106.86	2464.23	0
t_n1038_GOE	1758.984	1542.34	1971.85	U(2.315)
t_n1039	1490.611	1272.42	1710.11	0
t_n1040	1288.804	1080.54	1502.06	0
t_n1041	818.369	639.36	1015.37	0
t_n1042	605.552	457.93	777.03	0
t_n1043	517.098	387.73	667.01	0
t_n1044	458.613	342.36	596.66	0
